	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
23	HomSap	OutOfAfrica_2T12	0.001	0.0	1.0	5.0	1.0	0.996	0.004	0.0	0.4016419416532258	0.4979919678714859	0.4114329896907217	0.48694779116465864	0.682261208576998	0.4130979172658422	0.016996742849358273	0.75	0.65375
24	HomSap	OutOfAfrica_2T12	0.001	0.0	1.0	50.0	1.0	0.999	0.001	0.0	0.8173924550823044	0.972972972972973	0.8177469135802469	0.972972972972973	NA	0.8177469135802469	0.009058174229934162	0.0	0.575
25	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	0.0	1.0	0.0	0.546	0.454	NA	NA	NA	NA	NA	NA	NA	0.0	0.005615
26	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	1.0	1.0	0.0	0.503	0.497	NA	NA	NA	NA	0.75	0.75	0.25	0.003976143141153081	0.00478
27	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	10.0	1.0	0.0	0.559	0.441	NA	NA	NA	NA	0.6547619047619048	0.6547619047619048	0.09114367241588818	0.025044722719141325	0.00574
28	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	5.0	1.0	0.0	0.519	0.481	NA	NA	NA	NA	0.634920634920635	0.634920634920635	0.11744959195991064	0.01348747591522158	0.005325
29	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	50.0	1.0	0.0	0.553	0.447	NA	NA	NA	NA	0.5651598026598027	0.5651598026598027	0.03901502102388687	0.13381555153707053	0.005764999999999999
30	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	0.0	1.0	0.0	0.965	0.035	NA	NA	NA	NA	NA	NA	NA	0.0	0.19140499999999996
31	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	1.0	1.0	0.0	0.962	0.038	NA	NA	NA	NA	0.12780233639425548	0.12780233639425548	0.033837893256739325	0.06444906444906445	0.19479000000000002
32	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	10.0	1.0	0.0	0.972	0.028	NA	NA	NA	NA	0.17497557696026098	0.17497557696026098	0.012983660832525858	0.4619341563786008	0.18625999999999998
33	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	5.0	1.0	0.0	0.965	0.035	NA	NA	NA	NA	0.15922798919768352	0.15922798919768352	0.017289241323543408	0.26424870466321243	0.18661000000000003
34	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	50.0	1.0	0.0	0.964	0.036	NA	NA	NA	NA	0.39025805289271615	0.39025805289271615	0.011779991797954806	0.8993775933609959	0.19249000000000002
35	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	0.0	1.0	0.0	0.393	0.607	NA	NA	NA	NA	NA	NA	NA	0.0	0.082845
36	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	1.0	1.0	0.0	0.336	0.664	NA	NA	NA	NA	0.21799619214817959	0.21799619214817959	0.0700603429916218	0.07142857142857142	0.07150999999999999
37	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	10.0	1.0	0.0	0.35	0.65	NA	NA	NA	NA	0.30553821509577817	0.30553821509577817	0.031081175859190645	0.46285714285714286	0.075145
38	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	5.0	1.0	0.0	0.372	0.628	NA	NA	NA	NA	0.23117566898436065	0.23117566898436065	0.03267049555598337	0.31989247311827956	0.09018999999999999
39	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	50.0	1.0	0.0	0.363	0.637	NA	NA	NA	NA	0.6704153274681478	0.6704153274681478	0.02115954693802239	0.8677685950413223	0.07765000000000001
40	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	0.0	1.0	0.824	0.174	0.002	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.7513068181818181
41	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	1.0	1.0	0.791	0.207	0.002	0.24266626298181815	0.1390644753476612	0.26004807692307697	0.13147914032869784	0.3228569853114197	0.2768560946608024	0.028422612344671982	0.18357487922705315	0.7604545454545455
42	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	10.0	1.0	0.795	0.197	0.008	0.39789214561930786	0.690566037735849	0.4096441947565543	0.6716981132075471	0.5616724943155548	0.44332976550432107	0.014572707934406702	0.7715736040609137	0.7326341463414634
43	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	5.0	1.0	0.806	0.194	0.0	0.3314421528465473	0.4851116625310174	0.34284391534391534	0.46898263027295284	0.4794320219515967	0.3718688879980476	0.016552036839828393	0.5257731958762887	0.7623195876288661
44	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	50.0	1.0	0.809	0.185	0.006	0.7788710158056266	0.9666254635352287	0.779923175416133	0.965389369592089	0.9065846814496402	0.8033251446937227	0.009368841142690322	0.9567567567567568	0.7184293193717279
45	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	0.0	1.0	0.998	0.002	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.7749999999999999
46	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	1.0	1.0	0.999	0.001	0.0	0.3083011546774194	0.12412412412412413	0.32247899159663873	0.11911911911911911	NA	0.32247899159663873	0.03136935965808259	0.0	0.88
47	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	10.0	1.0	0.995	0.005	0.0	0.4951938227272727	0.6743718592964824	0.5033636363636365	0.6633165829145728	1.0	0.5056108597285068	0.014831187836549142	0.6	0.901
48	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	5.0	1.0	0.998	0.002	0.0	0.3860157155448718	0.46893787575150303	0.4095124716553288	0.44188376753507014	0.031914893617021274	0.4086581784923462	0.01744277957691844	0.5	0.9675
49	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	50.0	1.0	0.998	0.002	0.0	0.7912612934873949	0.9539078156312625	0.7914443277310924	0.9539078156312625	1.0	0.7918815513626833	0.00988839299159002	1.0	0.7525
50	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	0.0	1.0	0.0	0.531	0.469	NA	NA	NA	NA	NA	NA	NA	0.0	0.0055899999999999995
