	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
23	HomSap	OutOfAfrica_2T12	0.001	0.0	1.0	5.0	1.0	0.999	0.001	0.0	0.3858792962526767	0.4674674674674675	0.3999445676274945	0.45145145145145144	1.0	0.4012721238938053	0.01742157683017967	1.0	0.99
24	HomSap	OutOfAfrica_2T12	0.001	0.0	1.0	50.0	1.0	0.998	0.002	0.0	0.7927046374897119	0.9739478957915831	0.7961546391752578	0.9719438877755511	0.6071428571428571	0.7957657260435038	0.009620196535307435	1.0	0.9775
25	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	0.0	1.0	0.0	0.399	0.601	NA	NA	NA	NA	NA	NA	NA	0.0	0.0031550000000000003
26	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	1.0	1.0	0.0	0.391	0.609	NA	NA	NA	NA	0.3333333333333333	0.3333333333333333		0.0025575447570332483	0.003215
27	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	10.0	1.0	0.0	0.391	0.609	NA	NA	NA	NA	0.9047619047619048	0.9047619047619048	0.09523809523809522	0.017902813299232736	0.00333
28	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	5.0	1.0	0.0	0.388	0.612	NA	NA	NA	NA	0.7666666666666667	0.7666666666666667	0.14529663145135577	0.01288659793814433	0.00313
29	HomSap	OutOfAfrica_2T12	0.001	0.5	0.01	50.0	1.0	0.0	0.397	0.603	NA	NA	NA	NA	0.700925925925926	0.700925925925926	0.03985136378452049	0.13602015113350127	0.003335
30	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	0.0	1.0	0.0	0.875	0.125	NA	NA	NA	NA	NA	NA	NA	0.0	0.03177000000000001
31	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	1.0	1.0	0.0	0.872	0.128	NA	NA	NA	NA	0.33154881825096827	0.33154881825096827	0.06303154670524358	0.03555045871559633	0.03293
32	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	10.0	1.0	0.0	0.871	0.129	NA	NA	NA	NA	0.42713555264173764	0.42713555264173764	0.02519268687138021	0.22502870264064295	0.03283
33	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	5.0	1.0	0.0	0.871	0.129	NA	NA	NA	NA	0.3378626237382634	0.3378626237382634	0.03605213675595878	0.11021814006888633	0.03326500000000001
34	HomSap	OutOfAfrica_2T12	0.001	0.5	0.05	50.0	1.0	0.0	0.892	0.108	NA	NA	NA	NA	0.5489817815356006	0.5489817815356006	0.014560104747758693	0.6468609865470852	0.034755
35	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	0.0	1.0	0.0	0.951	0.049	NA	NA	NA	NA	NA	NA	NA	0.0	0.09983
36	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	1.0	1.0	0.0	0.935	0.065	NA	NA	NA	NA	0.1953487082298777	0.1953487082298777	0.032943275862666356	0.07807486631016043	0.0897
37	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	10.0	1.0	0.0	0.946	0.054	NA	NA	NA	NA	0.34261512506966896	0.34261512506966896	0.015961534407048245	0.4915433403805497	0.091445
38	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	5.0	1.0	0.0	0.95	0.05	NA	NA	NA	NA	0.27531509955128536	0.27531509955128536	0.019497302127481856	0.2926315789473684	0.096265
39	HomSap	OutOfAfrica_2T12	0.001	0.5	0.1	50.0	1.0	0.0	0.944	0.056	NA	NA	NA	NA	0.6557141039601285	0.6557141039601285	0.011369856634827617	0.9004237288135594	0.094485
40	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	0.0	1.0	0.591	0.409	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.892237163814181
41	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	1.0	1.0	0.583	0.417	0.0	0.2572087195238096	0.10806174957118353	0.26500000000000007	0.10634648370497427	0.20877252187904966	0.23126351312742982	0.02427736875053871	0.22302158273381295	0.8830695443645082
42	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	10.0	1.0	0.585	0.415	0.0	0.411432330455665	0.694017094017094	0.41994974874371854	0.6803418803418804	0.45152839650411414	0.43490365866200115	0.013336178895172246	0.8626506024096385	0.8952530120481927
43	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	5.0	1.0	0.597	0.402	0.001	0.2844737147722773	0.507537688442211	0.29831034482758617	0.48576214405360135	0.3240473938828478	0.31067150817312406	0.014294524581125912	0.6666666666666666	0.8876178660049628
44	HomSap	OutOfAfrica_2T12	0.001	0.5	0.5	50.0	1.0	0.609	0.391	0.0	0.7245723382689075	0.9770114942528736	0.7246554621848739	0.9770114942528736	0.7979259672012421	0.753349330713779	0.009951728335928637	0.979539641943734	0.8889002557544757
45	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	0.0	1.0	0.996	0.004	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.9662499999999999
46	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	1.0	1.0	0.995	0.005	0.0	0.2818371155263158	0.13366834170854272	0.2941732283464567	0.12763819095477386	0.6281407035175879	0.2993510186591874	0.0300287098004547	0.4	0.9490000000000001
47	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	10.0	1.0	0.996	0.004	0.0	0.4932326203896104	0.6957831325301205	0.5033651026392961	0.6847389558232931	0.8882882882882882	0.5050508976129413	0.01472481894033142	0.75	0.9437500000000001
48	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	5.0	1.0	0.997	0.003	0.0	0.42290192760303696	0.46238716148445336	0.4359060402684563	0.4483450351053159	0.8837209302325582	0.4379007613818823	0.018040063491485226	0.6666666666666666	0.9083333333333333
49	HomSap	OutOfAfrica_2T12	0.001	0.5	1.0	50.0	1.0	0.998	0.002	0.0	0.7792017656191951	0.9709418837675351	0.7823886010362694	0.966933867735471	1.0	0.7828386763185109	0.009782389129126032	1.0	0.99
50	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	0.0	1.0	0.0	0.455	0.545	NA	NA	NA	NA	NA	NA	NA	0.0	0.00398
51	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	1.0	1.0	0.0	0.436	0.564	NA	NA	NA	NA	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.0045871559633027525	0.00375
52	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	10.0	1.0	0.0	0.428	0.572	NA	NA	NA	NA	0.6866666666666666	0.6866666666666666	0.10786365421788087	0.02336448598130841	0.003415
53	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	5.0	1.0	0.0	0.427	0.573	NA	NA	NA	NA	0.6845238095238094	0.6845238095238094	0.1510153966911748	0.01639344262295082	0.00375
54	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	50.0	1.0	0.0	0.413	0.587	NA	NA	NA	NA	0.715	0.715	0.04656072631057103	0.1089588377723971	0.003565
55	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	0.0	1.0	0.0	0.916	0.084	NA	NA	NA	NA	NA	NA	NA	0.0	0.04800500000000001
56	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	1.0	1.0	0.0	0.918	0.082	NA	NA	NA	NA	0.2674224173759657	0.2674224173759657	0.06473404506795188	0.030501089324618737	0.049895
57	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	10.0	1.0	0.0	0.915	0.085	NA	NA	NA	NA	0.3238292075588915	0.3238292075588915	0.021066863825274847	0.28415300546448086	0.04938
58	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	5.0	1.0	0.0	0.923	0.077	NA	NA	NA	NA	0.24766312718905337	0.24766312718905337	0.026175764994859296	0.14084507042253522	0.050415
59	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	50.0	1.0	0.0	0.914	0.086	NA	NA	NA	NA	0.49890000264581985	0.49890000264581985	0.013583301958143505	0.7045951859956237	0.046835
60	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	0.0	1.0	0.0	0.981	0.019	NA	NA	NA	NA	NA	NA	NA	0.0	0.16064499999999998
61	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	1.0	1.0	0.0	0.985	0.015	NA	NA	NA	NA	0.14891800987258783	0.14891800987258783	0.023849288951198904	0.10152284263959391	0.16759000000000002
62	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	10.0	1.0	0.0	0.981	0.019	NA	NA	NA	NA	0.2614612200473179	0.2614612200473179	0.012829615884180986	0.6085626911314985	0.164705
63	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	5.0	1.0	0.0	0.975	0.025	NA	NA	NA	NA	0.18675822315031773	0.18675822315031773	0.013040873592263469	0.38974358974358975	0.16662000000000002
64	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	50.0	1.0	0.0	0.984	0.016	NA	NA	NA	NA	0.6073981223779925	0.6073981223779925	0.010418618887754645	0.9471544715447154	0.16484000000000001
